image,correct_valence,correct_key,identity,expression
CFD-BM-034-040-A.jpg,negative,f,BM-034,A
CFD-BM-010-003-N.jpg,neutral,g,BM-010,N
CFD-BF-010-003-HO.jpg,positive,h,BF-010,HO
